1.0 NONTERMINAL NP+ADVP
254.0 NONTERMINAL VP+VERB
65.0 NONTERMINAL SBAR
3405.0 NONTERMINAL SBARQ
81.0 NONTERMINAL ADJP
30.0 NONTERMINAL WHADVP
1808.0 NONTERMINAL DET
1.0 NONTERMINAL S+VP+VERB
2.0 NONTERMINAL NP+QP
2.0 NONTERMINAL NP+S
11.0 NONTERMINAL SBAR+S
3.0 NONTERMINAL NP+X
3.0 NONTERMINAL NP+NP
251.0 NONTERMINAL SQ+VP
68.0 NONTERMINAL CONJ
569.0 NONTERMINAL WHNP
301.0 NONTERMINAL WHADVP+ADV
85.0 NONTERMINAL S
1.0 NONTERMINAL NX
1024.0 NONTERMINAL PP
3852.0 NONTERMINAL NOUN
4.0 NONTERMINAL NP+ADJ
27.0 NONTERMINAL PRT+PRT
280.0 NONTERMINAL PRT
1.0 NONTERMINAL WHNP+WHNP
2032.0 NONTERMINAL .
1.0 NONTERMINAL PP+NOUN
24.0 NONTERMINAL WHPP
103.0 NONTERMINAL NUM
50.0 NONTERMINAL NP+NUM
4813.0 NONTERMINAL NP
90.0 NONTERMINAL S+VP
25.0 NONTERMINAL NP+DET
244.0 NONTERMINAL ADV
16.0 NONTERMINAL VP+NOUN
19.0 NONTERMINAL ADJP+ADJ
1010.0 NONTERMINAL ADP
1.0 NONTERMINAL NP+PP
1.0 NONTERMINAL PP+PP+ADP
2.0 NONTERMINAL ADVP+ADJ
803.0 NONTERMINAL VP
6.0 NONTERMINAL PP+PRT
817.0 NONTERMINAL WHNP+PRON
2349.0 NONTERMINAL VERB
1.0 NONTERMINAL NP+S+VP
17.0 NONTERMINAL X
656.0 NONTERMINAL NP+NOUN
916.0 NONTERMINAL ADJ
14.0 NONTERMINAL ADVP
10.0 NONTERMINAL SBAR+S+VP
7.0 NONTERMINAL QP
23.0 NONTERMINAL WHNP+DET
2081.0 NONTERMINAL SQ
38.0 NONTERMINAL ADVP+ADV
2.0 NONTERMINAL NP+VERB
124.0 NONTERMINAL WHADJP
114.0 NONTERMINAL NP+PRON
73.0 NONTERMINAL PRON
1.0 NONTERMINAL NP+SBAR+S
1.0 NONTERMINAL VP+S+VP
1.0 NONTERMINAL SBAR+VP
113.0 NONTERMINAL PP+ADP
4.0 UNARYRULE NOUN miles
2.0 UNARYRULE VP+VERB use
1.0 UNARYRULE ADJ New
1.0 UNARYRULE PP+ADP as
2.0 UNARYRULE VP+VERB form
1.0 UNARYRULE PRT+PRT into
38.0 UNARYRULE VERB has
6.0 UNARYRULE NOUN America
7.0 UNARYRULE ADJ British
5.0 UNARYRULE NOUN battle
4.0 UNARYRULE VP+VERB do
9.0 UNARYRULE ADJ best
5.0 UNARYRULE NOUN group
9.0 UNARYRULE NOUN person
118.0 UNARYRULE . <<
17.0 UNARYRULE VERB Name
15.0 UNARYRULE NOUN game
5.0 UNARYRULE NOUN Mississippi
126.0 UNARYRULE VERB are
1.0 UNARYRULE NP+NOUN America
5.0 UNARYRULE NP+NOUN place
2.0 UNARYRULE NOUN French
2.0 UNARYRULE VP+VERB cost
4.0 UNARYRULE NP+NOUN Texas
8.0 UNARYRULE NOUN names
2.0 UNARYRULE WHADVP+ADV how
2.0 UNARYRULE NOUN mean
8.0 UNARYRULE ADP that
78.0 UNARYRULE ADP for
8.0 UNARYRULE NOUN colors
5.0 UNARYRULE VERB located
9.0 UNARYRULE NOUN John
1.0 UNARYRULE ADJ mountain
9.0 UNARYRULE ADJ highest
69.0 UNARYRULE ADP on
2.0 UNARYRULE NP+NOUN President
154.0 UNARYRULE VERB did
2.0 UNARYRULE NP+NOUN types
1.0 UNARYRULE VP+VERB be
5.0 UNARYRULE ADJ common
1.0 UNARYRULE S+VP+VERB _RARE_
11.0 UNARYRULE NOUN sun
11.0 UNARYRULE VERB invented
149.0 UNARYRULE ADV How
11.0 UNARYRULE NOUN capital
2702.0 UNARYRULE NOUN _RARE_
2.0 UNARYRULE NOUN earth
4.0 UNARYRULE NOUN sport
9.0 UNARYRULE NP+NOUN people
76.0 UNARYRULE NUM _RARE_
4.0 UNARYRULE NOUN mountain
7.0 UNARYRULE DET which
7.0 UNARYRULE VERB died
3.0 UNARYRULE NOUN animals
9.0 UNARYRULE ADJ national
21.0 UNARYRULE VP+VERB die
6.0 UNARYRULE NOUN flight
17.0 UNARYRULE PP+ADP of
5.0 UNARYRULE VERB said
16.0 UNARYRULE NOUN United
7.0 UNARYRULE NOUN date
1.0 UNARYRULE NOUN Texas
5.0 UNARYRULE NP+NOUN president
3.0 UNARYRULE NOUN office
247.0 UNARYRULE VERB was
1.0 UNARYRULE ADVP+ADV after
14.0 UNARYRULE NOUN color
7.0 UNARYRULE ADJ average
5.0 UNARYRULE NOUN water
1.0 UNARYRULE NOUN Spanish
2.0 UNARYRULE NP+NOUN animals
4.0 UNARYRULE NOUN play
5.0 UNARYRULE ADJ tallest
1.0 UNARYRULE VP+VERB make
60.0 UNARYRULE CONJ and
9.0 UNARYRULE NOUN number
8.0 UNARYRULE NOUN character
1.0 UNARYRULE PRON it
6.0 UNARYRULE NOUN school
3.0 UNARYRULE VP+VERB open
4.0 UNARYRULE VP+VERB work
5.0 UNARYRULE NOUN eye
1.0 UNARYRULE NOUN Liberty
11.0 UNARYRULE NOUN River
7.0 UNARYRULE NOUN abbreviation
7.0 UNARYRULE NOUN home
13.0 UNARYRULE NOUN President
3.0 UNARYRULE VERB buried
12.0 UNARYRULE NOUN War
1.0 UNARYRULE VERB open
5.0 UNARYRULE NOUN star
6.0 UNARYRULE NOUN currency
1.0 UNARYRULE WHNP+PRON _RARE_
4.0 UNARYRULE PP+ADP with
5.0 UNARYRULE NOUN team
5.0 UNARYRULE VERB wrote
3.0 UNARYRULE NOUN Australia
5.0 UNARYRULE NOUN birthstone
7.0 UNARYRULE VP+VERB have
1.0 UNARYRULE VP+VERB find
10.0 UNARYRULE ADJ fast
5.0 UNARYRULE . :
5.0 UNARYRULE ADJ longest
1.0 UNARYRULE PRT+PRT for
6.0 UNARYRULE ADP after
2.0 UNARYRULE VP+VERB become
5.0 UNARYRULE PP+ADP into
3.0 UNARYRULE NOUN London
3.0 UNARYRULE NP+NOUN miles
3.0 UNARYRULE VP+VERB died
78.0 UNARYRULE VERB do
6.0 UNARYRULE ADJ top
5.0 UNARYRULE ADJ black
667.0 UNARYRULE VERB is
5.0 UNARYRULE DET some
7.0 UNARYRULE VP+VERB mean
3.0 UNARYRULE NP+NOUN baseball
5.0 UNARYRULE NOUN percentage
15.0 UNARYRULE PRON his
32.0 UNARYRULE NOUN world
1.0 UNARYRULE VP+VERB did
1.0 UNARYRULE PP+NOUN _RARE_
1.0 UNARYRULE NP+NOUN battle
1.0 UNARYRULE NP+VERB _RARE_
13.0 UNARYRULE PRT <
1.0 UNARYRULE ADJ capital
1.0 UNARYRULE ADJP+ADJ open
8.0 UNARYRULE NOUN woman
70.0 UNARYRULE WHADVP+ADV How
12.0 UNARYRULE ADV far
1.0 UNARYRULE NP+DET that
28.0 UNARYRULE DET Which
35.0 UNARYRULE VERB can
15.0 UNARYRULE NP+PRON it
11.0 UNARYRULE VERB makes
1695.0 UNARYRULE . ?
31.0 UNARYRULE VERB <s
11.0 UNARYRULE NOUN origin
50.0 UNARYRULE NOUN city
4.0 UNARYRULE VP+VERB made
15.0 UNARYRULE ADP with
5.0 UNARYRULE NOUN World
108.0 UNARYRULE WHADVP+ADV When
151.0 UNARYRULE WHNP+PRON Who
1.0 UNARYRULE VP+VERB used
5.0 UNARYRULE NOUN leader
10.0 UNARYRULE NOUN nickname
20.0 UNARYRULE ADP by
5.0 UNARYRULE VERB killed
1.0 UNARYRULE VP+VERB start
7.0 UNARYRULE NOUN dog
5.0 UNARYRULE NOUN Lincoln
110.0 UNARYRULE PRT to
12.0 UNARYRULE VERB come
5.0 UNARYRULE NP+NOUN Mars
29.0 UNARYRULE NOUN state
9.0 UNARYRULE ADJ real
1.0 UNARYRULE VERB name
6.0 UNARYRULE NOUN governor
6.0 UNARYRULE NOUN Tower
2.0 UNARYRULE WHADVP+ADV _RARE_
11.0 UNARYRULE NOUN word
4.0 UNARYRULE NP+NOUN earth
3.0 UNARYRULE NOUN musical
30.0 UNARYRULE DET an
4.0 UNARYRULE NP+NOUN Spanish
6.0 UNARYRULE WHNP+PRON who
5.0 UNARYRULE ADJ fastest
1.0 UNARYRULE NP+NOUN company
1.0 UNARYRULE NP+NOUN state
22.0 UNARYRULE ADJ American
2.0 UNARYRULE VP+VERB run
25.0 UNARYRULE ADP as
1.0 UNARYRULE DET that
1.0 UNARYRULE NP+NOUN Johnson
6.0 UNARYRULE PP+PRT to
10.0 UNARYRULE NOUN University
4.0 UNARYRULE ADJ North
1.0 UNARYRULE NOUN light
2.0 UNARYRULE NP+NUM one
7.0 UNARYRULE NOUN State
6.0 UNARYRULE VERB use
1.0 UNARYRULE NP+NOUN dog
6.0 UNARYRULE NOUN West
2.0 UNARYRULE VERB cost
16.0 UNARYRULE ADJ largest
14.0 UNARYRULE ADP at
2.0 UNARYRULE VERB built
3.0 UNARYRULE NOUN Earth
7.0 UNARYRULE NOUN term
6.0 UNARYRULE NP+NOUN Alaska
4.0 UNARYRULE NP+NOUN home
7.0 UNARYRULE PRON your
6.0 UNARYRULE NOUN North
2.0 UNARYRULE ADV only
3.0 UNARYRULE ADJ long
7.0 UNARYRULE PRT+PRT up
5.0 UNARYRULE NOUN college
22.0 UNARYRULE . .
4.0 UNARYRULE NP+NOUN Canada
477.0 UNARYRULE VERB _RARE_
4.0 UNARYRULE NOUN Africa
7.0 UNARYRULE PRON _RARE_
8.0 UNARYRULE NOUN King
2.0 UNARYRULE NP+DET some
2.0 UNARYRULE PP+ADP at
1.0 UNARYRULE NOUN cost
16.0 UNARYRULE VP+NOUN mean
35.0 UNARYRULE DET The
1.0 UNARYRULE NOUN England
4.0 UNARYRULE NP+NOUN light
21.0 UNARYRULE NP+DET there
8.0 UNARYRULE NOUN day
390.0 UNARYRULE DET What
15.0 UNARYRULE NOUN States
10.0 UNARYRULE VERB play
5.0 UNARYRULE PRON her
4.0 UNARYRULE NP+NOUN France
19.0 UNARYRULE VERB find
17.0 UNARYRULE WHADVP+ADV Why
1.0 UNARYRULE VERB begin
2.0 UNARYRULE NP+NOUN rain
2.0 UNARYRULE NOUN top
7.0 UNARYRULE NOUN actor
5.0 UNARYRULE PRON What
272.0 UNARYRULE ADP in
2.0 UNARYRULE NP+NOUN Africa
41.0 UNARYRULE NOUN country
4.0 UNARYRULE PP+ADP on
5.0 UNARYRULE ADV long
5.0 UNARYRULE NP+PRON he
21.0 UNARYRULE ADV most
4.0 UNARYRULE NP+NOUN England
7.0 UNARYRULE PRT+PRT _RARE_
1.0 UNARYRULE VERB work
14.0 UNARYRULE VERB used
13.0 UNARYRULE DET what
10.0 UNARYRULE ADJ old
3.0 UNARYRULE NOUN form
89.0 UNARYRULE NOUN name
1.0 UNARYRULE NP+NOUN Mississippi
2.0 UNARYRULE WHNP+DET which
5.0 UNARYRULE VERB had
1.0 UNARYRULE PRT _RARE_
3.0 UNARYRULE NOUN place
8.0 UNARYRULE ADJ tall
2.0 UNARYRULE ADV about
38.0 UNARYRULE ADP from
8.0 UNARYRULE NOUN book
40.0 UNARYRULE PP+ADP in
14.0 UNARYRULE PRON its
1.0 UNARYRULE PRT+PRT on
1.0 UNARYRULE PRT+PRT place
4.0 UNARYRULE ADJ French
7.0 UNARYRULE VP+VERB built
6.0 UNARYRULE NUM four
17.0 UNARYRULE X _RARE_
5.0 UNARYRULE NOUN address
1.0 UNARYRULE WHNP+PRON Which
9.0 UNARYRULE NP+NOUN water
24.0 UNARYRULE PP+ADP for
6.0 UNARYRULE NOUN bird
5.0 UNARYRULE NOUN show
8.0 UNARYRULE NOUN car
1.0 UNARYRULE VP+VERB get
1.0 UNARYRULE NOUN start
8.0 UNARYRULE VP+VERB invented
5.0 UNARYRULE NOUN life
1.0 UNARYRULE NOUN Spain
8.0 UNARYRULE NP+PRON _RARE_
6.0 UNARYRULE NOUN money
1084.0 UNARYRULE DET the
3.0 UNARYRULE PP+ADP by
1.0 UNARYRULE ADV Why
10.0 UNARYRULE VERB say
8.0 UNARYRULE NOUN movie
108.0 UNARYRULE VERB does
6.0 UNARYRULE NOUN system
4.0 UNARYRULE NP+NOUN Spain
7.0 UNARYRULE ADJ oldest
18.0 UNARYRULE VERB made
6.0 UNARYRULE VERB live
5.0 UNARYRULE NOUN Vietnam
7.0 UNARYRULE NOUN river
1.0 UNARYRULE PP+PP+ADP in
1.0 UNARYRULE NOUN use
4.0 UNARYRULE NP+NOUN power
10.0 UNARYRULE VERB take
43.0 UNARYRULE NOUN U.S.
13.0 UNARYRULE NOUN people
2.0 UNARYRULE NP+NOUN French
6.0 UNARYRULE VERB founded
5.0 UNARYRULE ADVP+ADV first
4.0 UNARYRULE VERB start
5.0 UNARYRULE VERB given
7.0 UNARYRULE NOUN York
3.0 UNARYRULE NOUN Great
4.0 UNARYRULE VP+VERB begin
47.0 UNARYRULE NP+NUM _RARE_
3.0 UNARYRULE NOUN Canada
64.0 UNARYRULE . ,
14.0 UNARYRULE VERB called
4.0 UNARYRULE VERB write
9.0 UNARYRULE PRT+PRT out
17.0 UNARYRULE DET _RARE_
13.0 UNARYRULE PP+ADP from
39.0 UNARYRULE ADP _RARE_
6.0 UNARYRULE NOUN George
8.0 UNARYRULE ADJ famous
106.0 UNARYRULE VP+VERB _RARE_
5.0 UNARYRULE NOUN difference
5.0 UNARYRULE ADP about
8.0 UNARYRULE ADP between
8.0 UNARYRULE PRON their
6.0 UNARYRULE ADP into
13.0 UNARYRULE NOUN fear
1.0 UNARYRULE NP+NOUN countries
20.0 UNARYRULE VERB were
11.0 UNARYRULE VERB make
526.0 UNARYRULE ADJ _RARE_
11.0 UNARYRULE NOUN company
8.0 UNARYRULE NOUN moon
4.0 UNARYRULE NOUN rain
3.0 UNARYRULE ADJ Great
15.0 UNARYRULE NOUN president
13.0 UNARYRULE NOUN New
5.0 UNARYRULE VERB causes
5.0 UNARYRULE NOUN Johnson
5.0 UNARYRULE ADJ female
16.0 UNARYRULE VERB known
37.0 UNARYRULE ADV _RARE_
5.0 UNARYRULE NOUN South
1.0 UNARYRULE NOUN work
2.0 UNARYRULE ADJ musical
3.0 UNARYRULE ADJ National
1.0 UNARYRULE NP+NOUN Vietnam
1.0 UNARYRULE NP+NUM two
2.0 UNARYRULE NP+NOUN London
3.0 UNARYRULE PRON I
6.0 UNARYRULE ADJ Spanish
3.0 UNARYRULE VERB run
5.0 UNARYRULE NOUN party
47.0 UNARYRULE NP+PRON you
10.0 UNARYRULE NOUN Day
5.0 UNARYRULE ADP out
3.0 UNARYRULE NP+X _RARE_
2.0 UNARYRULE ADVP+ADJ _RARE_
10.0 UNARYRULE VERB call
8.0 UNARYRULE VERB being
69.0 UNARYRULE ADJ many
3.0 UNARYRULE NP+NOUN Australia
6.0 UNARYRULE NP+PRON they
1.0 UNARYRULE NP+ADJ black
3.0 UNARYRULE VP+VERB buried
10.0 UNARYRULE NOUN kind
8.0 UNARYRULE NOUN St.
380.0 UNARYRULE ADP of
5.0 UNARYRULE PRON my
1.0 UNARYRULE ADJ home
1.0 UNARYRULE ADJ West
526.0 UNARYRULE NP+NOUN _RARE_
2.0 UNARYRULE CONJ _RARE_
5.0 UNARYRULE ADJ European
1.0 UNARYRULE NOUN run
5.0 UNARYRULE VERB been
6.0 UNARYRULE NOUN Washington
3.0 UNARYRULE NP+ADJ _RARE_
7.0 UNARYRULE ADJ only
9.0 UNARYRULE NOUN film
2.0 UNARYRULE ADV Where
3.0 UNARYRULE WHNP+DET Which
5.0 UNARYRULE VERB win
1.0 UNARYRULE ADVP+ADV best
90.0 UNARYRULE WHADVP+ADV Where
5.0 UNARYRULE NOUN rate
6.0 UNARYRULE NOUN Kennedy
10.0 UNARYRULE NOUN baseball
2.0 UNARYRULE VP+VERB play
2.0 UNARYRULE NOUN National
118.0 UNARYRULE . ``
198.0 UNARYRULE DET a
2.0 UNARYRULE NP+NOUN year
6.0 UNARYRULE CONJ or
8.0 UNARYRULE NOUN US
16.0 UNARYRULE NUM two
1.0 UNARYRULE VP+VERB painted
20.0 UNARYRULE VERB stand
1.0 UNARYRULE NP+DET _RARE_
12.0 UNARYRULE VERB be
14.0 UNARYRULE ADJ most
1.0 UNARYRULE NOUN I
5.0 UNARYRULE NOUN American
5.0 UNARYRULE VERB should
11.0 UNARYRULE NOUN body
1.0 UNARYRULE VP+VERB killed
1.0 BINARYRULE VP VERB SBAR+VP
4.0 BINARYRULE VP VERB NP+PRON
1.0 BINARYRULE SBAR+S+VP PRT VP+VERB
63.0 BINARYRULE SQ VERB VP
1.0 BINARYRULE SQ ADVP+ADV VP+VERB
1.0 BINARYRULE VP PP WHPP
75.0 BINARYRULE SQ NP+PRON VP
1.0 BINARYRULE SBARQ SBARQ .
7.0 BINARYRULE ADJP DET ADJ
1436.0 BINARYRULE SBARQ SQ .
21.0 BINARYRULE NP CONJ NOUN
165.0 BINARYRULE NP NOUN PRT
12.0 BINARYRULE S+VP VERB NP
41.0 BINARYRULE NP NOUN PP
30.0 BINARYRULE PP PRT NP
77.0 BINARYRULE VP VERB PP+ADP
71.0 BINARYRULE SQ VERB NP+NOUN
506.0 BINARYRULE NP NP PP
2.0 BINARYRULE SQ PP PP
141.0 BINARYRULE VP VERB PP
1.0 BINARYRULE S+VP VERB ADJP
2.0 BINARYRULE PP PRT NP+NUM
1.0 BINARYRULE SQ NP+ADJ SQ
1.0 BINARYRULE VP NP ADJP+ADJ
2.0 BINARYRULE ADJP CONJ ADJ
1.0 BINARYRULE VP NP+NOUN PRT+PRT
25.0 BINARYRULE NP CONJ NP
1.0 BINARYRULE PP ADP NP+QP
601.0 BINARYRULE PP ADP NP
3.0 BINARYRULE SQ+VP VERB SBAR+S
13.0 BINARYRULE SQ NP+DET PP
42.0 BINARYRULE SBARQ WHADJP SBARQ
3.0 BINARYRULE WHNP PRON NP
20.0 BINARYRULE WHADVP ADV ADV
1.0 BINARYRULE VP NP VP+VERB
8.0 BINARYRULE SQ VERB ADJP
1.0 BINARYRULE PP NP+NUM PP
1.0 BINARYRULE ADJP NUM NOUN
1.0 BINARYRULE SQ NP+NOUN VP+NOUN
1.0 BINARYRULE PP PRT NP+DET
14.0 BINARYRULE VP VERB VP+VERB
1.0 BINARYRULE SQ NP+S VP
1.0 BINARYRULE NP NOUN PP+ADP
1.0 BINARYRULE VP VERB NP+SBAR+S
7.0 BINARYRULE S NP+PRON VP+VERB
1.0 BINARYRULE NP ADJP+ADJ NP
1.0 BINARYRULE NP NOUN ADVP+ADV
477.0 BINARYRULE NP ADJ NOUN
1.0 BINARYRULE SQ ADJP+ADJ PP
4.0 BINARYRULE VP PRT VP+VERB
148.0 BINARYRULE VP VERB NP
1.0 BINARYRULE SBAR+S NP VP+VERB
1.0 BINARYRULE VP VERB .
21.0 BINARYRULE WHPP ADP WHNP
1.0 BINARYRULE NP NP+NOUN PP+ADP
8.0 BINARYRULE SQ VERB NP+DET
1.0 BINARYRULE VP NOUN PP+ADP
5.0 BINARYRULE NP NP PP+ADP
1.0 BINARYRULE NP+NP . NP
2.0 BINARYRULE VP PP NP
13.0 BINARYRULE SQ NP VP+NOUN
11.0 BINARYRULE S+VP VERB PP
12.0 BINARYRULE NP ADJP NP
1.0 BINARYRULE VP VERB WHADJP
1.0 BINARYRULE VP NP SBAR
2.0 BINARYRULE SQ+VP ADVP+ADV VP
4.0 BINARYRULE SQ VP PP
1.0 BINARYRULE VP PRT+PRT WHPP
2.0 BINARYRULE VP PP+ADP PP
7.0 BINARYRULE SBARQ WHNP SQ
3.0 BINARYRULE VP PRT+PRT PP
1.0 BINARYRULE SBAR WHPP S
4.0 BINARYRULE WHNP ADV ADV
9.0 BINARYRULE ADJP ADJ ADJ
3.0 BINARYRULE NP VERB NP
118.0 BINARYRULE WHADJP ADV ADJ
22.0 BINARYRULE SQ+VP VERB PP
1.0 BINARYRULE NP VERB NP+NOUN
1.0 BINARYRULE SBAR WHNP+DET S+VP+VERB
2.0 BINARYRULE S+VP VERB S
31.0 BINARYRULE NP NP+NOUN PP
653.0 BINARYRULE SQ VERB NP
26.0 BINARYRULE SBARQ WHADVP SBARQ
2.0 BINARYRULE QP ADV NUM
1.0 BINARYRULE ADJP ADJ PRT+PRT
3.0 BINARYRULE NP . PRON
1.0 BINARYRULE ADVP ADV NP
35.0 BINARYRULE S+VP PRT VP
2.0 BINARYRULE ADJP ADJ NOUN
1.0 BINARYRULE VP VP NP+NOUN
5.0 BINARYRULE SQ NP SQ
3.0 BINARYRULE VP NP+NOUN S+VP
14.0 BINARYRULE NP PRON NP
1.0 BINARYRULE NX NOUN NOUN
10.0 BINARYRULE NP NP SBAR+S+VP
1.0 BINARYRULE SBARQ WHNP+WHNP SBARQ
1.0 BINARYRULE VP PRT+PRT SBARQ
1.0 BINARYRULE SQ NP+NOUN ADJP
1.0 BINARYRULE ADJP ADJ VP
1.0 BINARYRULE VP NP+PRON ADJP+ADJ
1.0 BINARYRULE ADJP ADJ .
1.0 BINARYRULE VP NP+NOUN VP+VERB
1.0 BINARYRULE SQ+VP VERB S
4.0 BINARYRULE WHNP ADJ NOUN
2.0 BINARYRULE SQ NP+NOUN NP
2.0 BINARYRULE PP ADP SBAR
808.0 BINARYRULE SBARQ WHNP+PRON SBARQ
2.0 BINARYRULE SQ NP ADJP
14.0 BINARYRULE PP ADP S+VP
1.0 BINARYRULE NP NUM NUM
1.0 BINARYRULE SQ ADJP SBAR
766.0 BINARYRULE NP DET NP
1.0 BINARYRULE NP NP+NUM NP
770.0 BINARYRULE NP NOUN NOUN
1.0 BINARYRULE SBAR+S NP+PRON VP+VERB
8.0 BINARYRULE VP VERB PRT+PRT
1.0 BINARYRULE S+VP VP VP
3.0 BINARYRULE VP PRT+PRT NP
1.0 BINARYRULE NP X NOUN
18.0 BINARYRULE VP NP VP
1.0 BINARYRULE SBAR WHNP S
2.0 BINARYRULE VP S PP
21.0 BINARYRULE NP NP VP
3.0 BINARYRULE VP CONJ VP
2.0 BINARYRULE NP . ADJP+ADJ
20.0 BINARYRULE VP PP PP
4.0 BINARYRULE S . .
4.0 BINARYRULE ADVP ADV ADV
2.0 BINARYRULE NP . NUM
1.0 BINARYRULE NP ADJP .
1.0 BINARYRULE NP . PP
3.0 BINARYRULE SQ NP+PRON PP
4.0 BINARYRULE NP NP NP+NOUN
3.0 BINARYRULE VP VERB PP+PRT
4.0 BINARYRULE PP ADP NOUN
25.0 BINARYRULE S VP .
1.0 BINARYRULE VP NP+NOUN SBAR
1.0 BINARYRULE VP VERB NP+QP
3.0 BINARYRULE VP VERB ADVP+ADV
11.0 BINARYRULE S+VP VERB VP
2.0 BINARYRULE VP ADV VERB
1.0 BINARYRULE SQ . PP
97.0 BINARYRULE NP NOUN .
1.0 BINARYRULE WHNP NOUN ADJ
1.0 BINARYRULE S PP S
1.0 BINARYRULE NP VERB PRT
1.0 BINARYRULE PP ADV ADP
4.0 BINARYRULE PP ADP VP
1.0 BINARYRULE ADJP NOUN ADJP
1.0 BINARYRULE SQ+VP VP PP
1.0 BINARYRULE VP VP PP
7.0 BINARYRULE SBARQ . SBARQ
